id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2xXsqeA36gfrwJuTbsCtnw,Secrets,Secrets,"Hux & Thin, Galo Azin",False,10,0.751,0.952,1,-7.304,1,0.0585,0.00108,0.745,0.317,0.878,124.998,audio_features,spotify:track:2xXsqeA36gfrwJuTbsCtnw,https://api.spotify.com/v1/tracks/2xXsqeA36gfrwJuTbsCtnw,https://api.spotify.com/v1/audio-analysis/2xXsqeA36gfrwJuTbsCtnw,2.877,4
3yK3o9ipt4hyTQwip5sPXy,Lemonade,Lemonade,Niko The Kid,False,31,0.765,0.867,11,-6.666,0,0.077,0.0646,0.806,0.176,0.655,123.041,audio_features,spotify:track:3yK3o9ipt4hyTQwip5sPXy,https://api.spotify.com/v1/tracks/3yK3o9ipt4hyTQwip5sPXy,https://api.spotify.com/v1/audio-analysis/3yK3o9ipt4hyTQwip5sPXy,3.0751333333333335,4
0Uo3ri0yFn2iUh2c3Z54uO,Organ Belta,Organ Belta,Jamie Roy,False,40,0.806,0.981,11,-6.689,0,0.0646,0.00586,0.863,0.0512,0.914,128.0,audio_features,spotify:track:0Uo3ri0yFn2iUh2c3Z54uO,https://api.spotify.com/v1/tracks/0Uo3ri0yFn2iUh2c3Z54uO,https://api.spotify.com/v1/audio-analysis/0Uo3ri0yFn2iUh2c3Z54uO,6.001283333333333,4
30DxiNsQtulj3wnwQjUKkQ,Excuse My French EP & WLAD remix,Singularity - WLAD Remix,"Sidney Charles, Wlad",False,2,0.797,0.952,7,-8.292,1,0.0644,0.0013,0.886,0.051,0.766,128.992,audio_features,spotify:track:30DxiNsQtulj3wnwQjUKkQ,https://api.spotify.com/v1/tracks/30DxiNsQtulj3wnwQjUKkQ,https://api.spotify.com/v1/audio-analysis/30DxiNsQtulj3wnwQjUKkQ,6.4629,4
2wDkyB3RylOwfipVByUAf2,Spanish Mode,Spanish Mode,Paskman,False,27,0.808,0.933,0,-8.527,1,0.0662,0.000637,0.298,0.0498,0.733,127.015,audio_features,spotify:track:2wDkyB3RylOwfipVByUAf2,https://api.spotify.com/v1/tracks/2wDkyB3RylOwfipVByUAf2,https://api.spotify.com/v1/audio-analysis/2wDkyB3RylOwfipVByUAf2,7.0867,4
3M1BOwgibzAwA9d4bZORlp,Chit Chat EP,Chit Chat,Milion (NL),False,13,0.782,0.787,1,-9.946,1,0.127,0.00134,0.881,0.0773,0.72,128.033,audio_features,spotify:track:3M1BOwgibzAwA9d4bZORlp,https://api.spotify.com/v1/tracks/3M1BOwgibzAwA9d4bZORlp,https://api.spotify.com/v1/audio-analysis/3M1BOwgibzAwA9d4bZORlp,6.283333333333333,4
5qvE6RC6vV9Y3bmVL535v6,Bring A Friend,Bring A Friend,Hood Rich,False,41,0.81,0.865,3,-4.905,1,0.0992,0.0295,0.847,0.594,0.852,126.009,audio_features,spotify:track:5qvE6RC6vV9Y3bmVL535v6,https://api.spotify.com/v1/tracks/5qvE6RC6vV9Y3bmVL535v6,https://api.spotify.com/v1/audio-analysis/5qvE6RC6vV9Y3bmVL535v6,3.2311833333333335,4
5S8cqMnTVUV3f5JiTjpMl4,Who Said That,What Is This,James Dexter,False,26,0.814,0.841,7,-10.652,1,0.132,0.000143,0.788,0.0901,0.714,123.011,audio_features,spotify:track:5S8cqMnTVUV3f5JiTjpMl4,https://api.spotify.com/v1/tracks/5S8cqMnTVUV3f5JiTjpMl4,https://api.spotify.com/v1/audio-analysis/5S8cqMnTVUV3f5JiTjpMl4,6.833333333333333,4
5VOxs6X2qCyR0TBLHc1TtU,The Wasteline EP,Instate - Original Mix,Rich NxT,False,15,0.812,0.71,11,-8.917,0,0.0475,6.82e-05,0.91,0.463,0.708,123.991,audio_features,spotify:track:5VOxs6X2qCyR0TBLHc1TtU,https://api.spotify.com/v1/tracks/5VOxs6X2qCyR0TBLHc1TtU,https://api.spotify.com/v1/audio-analysis/5VOxs6X2qCyR0TBLHc1TtU,6.012283333333333,4
0sRMNgFGTEwi86U2NcIwxY,Rotate,Rotate,Benjermain,False,7,0.857,0.772,9,-7.866,0,0.0866,0.0015,0.875,0.0238,0.791,126.997,audio_features,spotify:track:0sRMNgFGTEwi86U2NcIwxY,https://api.spotify.com/v1/tracks/0sRMNgFGTEwi86U2NcIwxY,https://api.spotify.com/v1/audio-analysis/0sRMNgFGTEwi86U2NcIwxY,5.812,4
